issue_date,issue_time,address,latitude,longitude
2025-11-03,13:38:00,COLUMBUS AVE & KEARNY ST,37.7969098,-122.4053091
2025-11-03,13:36:00,3156 21ST ST,40.7661174,-73.93118930000001
2025-11-03,13:31:00,454 MINNA ST,37.7814346,-122.4074425
2025-11-03,13:31:00,50 VERMONT ST,40.679151,-73.89587519999999
2025-11-03,13:31:00,50 VERMONT ST,40.679151,-73.89587519999999
2025-11-03,13:29:00,844 MOUNT VERNON AVE,35.346808,-118.9676244
2025-11-03,13:28:00,1125 BROADWAY,40.7593724,-73.9851694
2025-11-03,13:28:00,121 PRECITA AVE,37.74708,-122.41792
2025-11-03,13:27:00,MISSION ST & 5TH ST,37.7827327,-122.4065096
2025-11-03,13:27:00,KEARNY ST & CALIFORNIA ST,37.7926597,-122.4044518
2025-11-03,13:27:00,MARKET ST & 5TH  ST,37.7839996,-122.4080907
2025-11-03,13:25:00,MISSION ST & 5TH ST,37.7827327,-122.4065096
2025-11-03,13:25:00,HAIGHT ST & PIERCE ST,37.7716984,-122.4337595
2025-11-03,13:24:00,70 HILLCREST CT,32.5040134,-86.4153891
2025-11-03,13:23:00,788 MISSION ST,37.78516279999999,-122.4039664
2025-11-03,13:22:00,VAN NESS AVE & CHESTNUT ST,37.8022855,-122.4248533
2025-11-03,13:20:00,1724 ORTEGA ST,37.752309,-122.4822879
2025-11-03,13:16:00,2699 17TH AVE,32.488154,-84.967286
2025-11-03,13:16:00,HAIGHT ST & FILLMORE ST,37.7721148,-122.4304723
2025-11-03,13:15:00,2675 17TH AVE,32.4880659,-84.96762260000001
2025-11-03,13:14:00,HAIGHT ST & FILLMORE ST,37.7721148,-122.4304723
2025-11-03,13:12:00,POTRERO AVE & 24TH ST,37.752981,-122.4064249
2025-11-03,13:12:00,METRO CHURCH STATION-DOWNTOWN,37.76719,-122.42917
2025-11-03,13:11:00,MISSION ST & 11TH ST,37.7743364,-122.4171356
2025-11-03,13:11:00,METRO CHURCH STATION-DOWNTOWN,37.76719,-122.42917
2025-11-03,13:10:00,1815 GREAT HWY,37.75347319999999,-122.5085242
2025-11-03,13:10:00,300 FLORIDA ST,38.1052855,-122.2613208
2025-11-03,13:10:00,MISSION ST & 11TH ST,37.7743364,-122.4171356
2025-11-03,13:09:00,170 MADRONE AVE,37.7404197,-122.4684101
2025-11-03,13:07:00,273 GRANADA AVE,33.7660023,-118.1342774
2025-11-03,13:07:00,10 CORTES AVE,26.7128195,-80.2158145
2025-11-03,13:06:00,STOCKTON ST & GEARY ST,37.7875853,-122.4066115
2025-11-03,13:04:00,170 TOWNSEND ST,46.134981,-60.190339
2025-11-03,13:02:00,280 PRECITA AVE,37.7471311,-122.4142685
2025-11-03,13:02:00,153 CEDAR ST,7.5657434,-1.9330674
2025-11-03,12:59:00,METRO VAN NESS STATION,38.9445754,-77.0635471
2025-11-03,12:59:00,MARKET ST & VAN NESS AVE,37.7751044,-122.4193444
