issue_date,issue_time,address
2025-11-03,12:10:00,3 NEW MONTGOMERY ST
2025-11-03,12:10:00,431 BRYANT ST
2025-11-03,12:09:00,3719 SCOTT ST
2025-11-03,12:09:00,2626 STEINER ST
2025-11-03,12:08:00,2006 LAGUNA ST
2025-11-03,12:08:00,1485 PORTOLA DR
2025-11-03,12:08:00,3258 FOLSOM ST
2025-11-03,12:08:00,3510 19TH ST
2025-11-03,12:07:00,801 KIRKHAM ST
2025-11-03,12:06:00,6136 FULTON ST
2025-11-03,12:06:00,3500 19TH ST
2025-11-03,12:06:00,555 TERRY A FRANCOIS BLVD
2025-11-03,12:05:00,1860 38TH AVE
2025-11-03,12:05:00,3300 23RD ST
2025-11-03,12:03:00,682 PAGE ST
2025-11-03,12:03:00,499 CLAY ST
2025-11-03,12:02:00,2030 STEINER ST
2025-11-03,12:01:00,153 KEARNY ST
2025-11-03,12:01:00,304 BRYANT ST
2025-11-03,12:01:00,1512 CALIFORNIA ST
2025-11-03,12:00:00,1396 PORTOLA DR
2025-11-03,11:59:00,1722 STEINER ST
2025-11-03,11:58:00,543 MARKET ST
2025-11-03,11:56:00,403 BRYANT ST
2025-11-03,11:52:00,2526 MISSION ST
2025-11-03,11:51:00,STEINER ST & UNION ST
2025-11-03,11:50:00,4501 FULTON ST
2025-11-03,11:49:00,2337 GREENWICH ST
2025-11-03,11:49:00,2710 BAKER ST
2025-11-03,11:49:00,334 BOSWORTH ST
2025-11-03,11:47:00,831 ORTEGA ST
2025-11-03,11:45:00,645 LA GRANDE AVE
2025-11-03,11:45:00,STEINER ST & UNION ST
2025-11-03,11:43:00,3340 BAKER ST
2025-11-03,11:42:00,930 RUSSIA AVE
2025-11-03,11:42:00,2801 BRODERICK ST
2025-11-03,11:41:00,2815 BRODERICK ST
2025-11-03,11:41:00,186 TOWNSEND ST
2025-11-03,11:41:00,2060 MISSION ST
2025-11-03,11:33:00,66 28TH ST
2025-11-03,11:24:00,1511 STOCKTON ST
2025-11-03,11:24:00,3RD ST & BRYANT ST
2025-11-03,11:23:00,3RD ST & BRYANT ST
2025-11-03,11:23:00,3RD ST & BRYANT ST
2025-11-03,11:17:00,652 MARKET ST
2025-11-03,11:17:00,601 INDIANA ST
2025-11-03,11:16:00,3RD ST & FOLSOM ST
2025-11-03,11:12:00,333 11TH ST
2025-11-03,11:06:00,FILLMORE ST & SACRAMENTO ST
2025-11-03,11:03:00,2029 SUTTER ST
2025-11-03,11:00:00,145 CAPP ST
2025-11-03,11:00:00,961 MISSION ST
2025-11-03,10:58:00,2053 SUTTER ST
2025-11-03,10:57:00,1144 HAYES ST
2025-11-03,10:54:00,203 MONTGOMERY ST
2025-11-03,10:50:00,FILLMORE ST & PINE ST
2025-11-03,10:49:00,BRYANT ST & 6TH ST
2025-11-03,10:45:00,2429 CLAY ST
2025-11-03,10:45:00,33 MISSION ST
2025-11-03,10:44:00,2429 CLAY ST
2025-11-03,10:44:00,2011 CHESTNUT ST
2025-11-03,10:43:00,504 TAYLOR ST
2025-11-03,10:41:00,234 BLYTHDALE AVE
2025-11-03,10:41:00,POTRERO AVE & 21ST ST
2025-11-03,10:38:00,23 SPEAR ST
2025-11-03,10:38:00,3098 SACRAMENTO ST
2025-11-03,10:35:00,100 01ST ST
2025-11-03,10:35:00,687 GEARY ST
2025-11-03,10:33:00,FILLMORE ST & SUTTER ST
2025-11-03,10:31:00,FILLMORE ST & SUTTER ST
2025-11-03,10:29:00,106 DAVIS ST
2025-11-03,10:28:00,197 STEUART ST
2025-11-03,10:27:00,STOCKTON ST & SUTTER ST
2025-11-03,10:22:00,799 MARKET ST
2025-11-03,10:21:00,25 CASTELO AVE
2025-11-03,10:21:00,1567 KIRKWOOD AVE
2025-11-03,10:20:00,1003 FRONT ST
2025-11-03,10:17:00,2901 DIVISADERO ST
2025-11-03,10:16:00,2335 FILBERT ST
2025-11-03,10:15:00,FILLMORE ST & HAIGHT ST
2025-11-03,10:14:00,180 SPEAR ST
2025-11-03,10:14:00,4TH ST & MARKET ST
2025-11-03,10:13:00,2331 LAGUNA ST
2025-11-03,10:13:00,4398 LINCOLN BLVD
2025-11-03,10:13:00,300 PAGE ST
2025-11-03,10:12:00,2924 PIERCE ST
2025-11-03,10:12:00,FILLMORE ST & HAIGHT ST
2025-11-03,10:11:00,937 16TH ST
2025-11-03,10:10:00,FILLMORE ST & HAIGHT ST
2025-11-03,10:07:00,1601 MASONIC AVE
2025-11-03,10:07:00,1215 16TH ST
2025-11-03,10:06:00,2134 15TH ST
2025-11-03,10:06:00,2224 15TH ST
2025-11-03,10:06:00,CROSSOVER DR & LINCOLN ST
2025-11-03,10:05:00,645 SANTIAGO ST
2025-11-03,10:05:00,935 QUINTARA ST
2025-11-03,10:05:00,CROSSOVER DR & LINCOLN ST
2025-11-03,10:02:00,300 MADRID ST
2025-11-03,10:00:00,03 MCCOPPIN ST
2025-11-03,10:00:00,CROSSOVER DR & LINCOLN ST
2025-11-03,09:58:00,2009 FILBERT ST
2025-11-03,09:58:00,274 HAHN ST
2025-11-03,09:55:00,303 EMBARCADERO NORTH
2025-11-03,09:55:00,106 DAVIS ST
2025-11-03,09:49:00,124 PRESIDIO AVE
2025-11-03,09:47:00,19TH AVE & IRVING ST
2025-11-03,09:44:00,695 DOLORES ST
2025-11-03,09:43:00,1 SUTTER ST
2025-11-03,09:42:00,1801 27TH AVE
2025-11-03,09:41:00,571 07TH AVE
2025-11-03,09:39:00,421 LOCUST ST
2025-11-03,09:38:00,50 DRUMM ST
2025-11-03,09:38:00,205 LOCUST ST
2025-11-03,09:38:00,618 DELANCEY ST
2025-11-03,09:37:00,19TH AVE & IRVING ST
2025-11-03,09:36:00,2729 WEBSTER ST
2025-11-03,09:34:00,2847 WEBSTER ST
2025-11-03,09:34:00,3 EMBARCADERO NORTH
2025-11-03,09:31:00,3027 WEBSTER ST
2025-11-03,09:28:00,689 SPRUCE ST
2025-11-03,09:28:00,660 SPRUCE ST
2025-11-03,09:25:00,177 HANCOCK ST
2025-11-03,09:25:00,3880 19TH ST
2025-11-03,07:31:00,1497 19TH AVE
2025-11-03,07:29:00,711 O'FARRELL ST
2025-11-03,07:29:00,301 RANDOLPH ST
2025-11-03,07:29:00,1357 CLAY ST
2025-11-03,07:28:00,417 MONTGOMERY ST
2025-11-03,07:25:00,1550 CALIFORNIA ST
2025-11-03,07:23:00,201 MONTGOMERY ST
2025-11-03,07:22:00,721 O'FARRELL ST
2025-11-03,07:22:00,1260 CALIFORNIA ST
2025-11-03,07:21:00,1351 DIVISADERO ST
2025-11-03,07:20:00,311 12TH AVE
2025-11-03,07:20:00,1901 TARAVAL ST
2025-11-03,07:17:00,1299 BUSH ST
2025-11-03,07:17:00,262 10TH AVE
2025-11-03,07:16:00,480 CLAY ST
2025-11-03,07:15:00,205 08TH AVE
2025-11-03,07:15:00,43 FLORA ST
2025-11-03,07:13:00,1 RIVOLI ST
2025-11-03,07:13:00,864 BUSH ST
2025-11-03,07:13:00,302 06TH AVE
2025-11-03,07:12:00,52 THERESA ST
2025-11-03,07:12:00,10 DORADO TER
2025-11-03,07:12:00,360 06TH AVE
2025-11-03,07:12:00,539 BELVEDERE ST
2025-11-03,07:12:00,3224 JUDAH ST
2025-11-03,07:10:00,1080 BUSH ST
2025-11-03,07:10:00,600 BELVEDERE ST
2025-11-03,07:08:00,244 TAYLOR ST
2025-11-03,07:08:00,2648 GREAT HWY
2025-11-03,07:06:00,1497 19TH AVE
2025-11-03,07:06:00,1525 CLAY ST
2025-11-03,07:05:00,123 EDDY ST
2025-11-03,07:05:00,3 GENEVA AVE
2025-11-03,07:05:00,705 PORTOLA ST
2025-11-03,07:05:00,1508 STEINER ST
2025-11-03,07:05:00,3495 16TH ST
2025-11-03,07:04:00,555 ELLIS ST
2025-11-03,07:03:00,1 HARRISON ST
2025-11-03,06:58:00,801 14TH ST
2025-11-03,06:54:00,3535 CALIFORNIA ST
2025-11-03,06:54:00,85 MISSION ST
2025-11-03,06:54:00,350 ELLIS ST
2025-11-03,06:52:00,3632 SACRAMENTO ST
2025-11-03,06:50:00,3464 SACRAMENTO ST
2025-11-03,06:49:00,3324 SACRAMENTO ST
2025-11-03,06:47:00,636 PRESIDIO AVE
2025-11-03,06:45:00,3795 24TH ST
2025-11-03,06:45:00,3350 17TH ST
2025-11-03,06:44:00,736 POST ST
2025-11-03,06:41:00,227 TAYLOR ST
2025-11-03,06:41:00,738 POST ST
2025-11-03,06:39:00,725 HYDE ST
2025-11-03,06:35:00,1652 EDDY ST
2025-11-03,06:30:00,223 HYDE ST
2025-11-03,06:30:00,570 JESSIE ST
2025-11-03,06:29:00,560 JESSIE ST
2025-11-03,06:29:00,3555 20TH ST
2025-11-03,06:28:00,309 HYDE ST
2025-11-03,06:27:00,1506 STEINER ST
2025-11-03,06:26:00,333 BROADWAY
2025-11-03,06:20:00,1841 GROVE ST
2025-11-03,06:19:00,55 OCEAN AVE
2025-11-03,06:16:00,59 PERRY ST
2025-11-03,06:12:00,554 JONES ST
2025-11-03,06:09:00,345 LEAVENWORTH ST
2025-11-03,06:08:00,241 LEAVENWORTH ST
2025-11-03,04:28:00,230 07TH ST
2025-11-03,04:15:00,250 12TH ST
2025-11-03,04:11:00,356 12TH ST
2025-11-03,04:04:00,36 HOFF ST
2025-11-03,04:03:00,751 BROADWAY
2025-11-03,03:13:00,1395 UNDERWOOD AVE
2025-11-03,03:12:00,1375 UNDERWOOD AVE
2025-11-03,03:11:00,1311 UNDERWOOD AVE
2025-11-03,03:05:00,16 FELL ST
2025-11-03,02:54:00,4910 03RD ST
2025-11-03,02:45:00,1640 VAN NESS AVE
2025-11-03,02:42:00,1001 TENNESSEE ST
2025-11-03,02:40:00,1088 MINNESOTA ST
2025-11-03,02:23:00,421 MASON ST
2025-11-03,02:20:00,2160 MARKET ST
2025-11-03,02:17:00,340 POST ST
2025-11-03,02:09:00,430 CLAY ST
2025-11-03,02:09:00,148 FELL ST
2025-11-03,02:08:00,578 BUSH ST
2025-11-03,02:07:00,432 GEARY ST
2025-11-03,01:09:00,670 TEXAS ST
2025-11-03,01:08:00,642 TEXAS ST
2025-11-03,01:08:00,605 INDIANA ST
2025-11-03,01:07:00,640 TEXAS ST
2025-11-03,01:04:00,801 PENNSYLVANIA AVE
2025-11-03,01:02:00,905 PENNSYLVANIA AVE
2025-11-03,01:01:00,190 09TH ST
2025-11-03,00:50:00,89 GOUGH ST
2025-11-03,00:47:00,51 HENRY ADAMS ST
2025-11-03,00:44:00,360 BRANNAN ST
2025-11-03,00:35:00,1390 04TH ST
2025-11-03,00:30:00,1200 04TH ST
2025-11-03,00:30:00,120 TEHAMA ST
2025-11-03,00:26:00,1744 HARRISON ST
2025-11-03,00:24:00,630 FOLSOM ST
2025-11-03,00:15:00,754 EMBARCADERO SOUTH
2025-11-03,00:14:00,528 BRYANT ST
2025-11-03,00:14:00,528 BRYANT ST
2025-11-03,00:13:00,48 COLIN P KELLY JR ST
2025-11-03,00:13:00,22 HAWTHORNE ST
2025-11-03,00:08:00,510 07TH ST
2025-11-03,00:07:00,540 MINNA ST
2025-11-03,00:02:00,900 BRYANT ST
2025-11-02,22:42:00,560 NATOMA ST
2025-11-02,22:33:00,1546 20TH AVE
2025-11-02,22:30:00,2901 25TH ST
2025-11-02,21:55:00,272 ST CHARLES AVE
2025-11-02,21:52:00,1633 UNION ST
2025-11-02,20:59:00,704 EMBARCADERO SOUTH
2025-11-02,20:59:00,501 14TH ST
2025-11-02,20:46:00,75 WHITTIER ST
2025-11-02,20:31:00,704 EMBARCADERO NORTH
2025-11-02,20:30:00,400 10TH AVE
2025-11-02,20:29:00,1798 NORTH POINT ST
2025-11-02,20:05:00,1431 10TH AVE
2025-11-02,19:59:00,103 EMBARCADERO SOUTH
2025-11-02,19:58:00,126 17TH AVE
2025-11-02,19:54:00,166 EMBARCADERO SOUTH
2025-11-02,19:54:00,126 17TH AVE
2025-11-02,19:52:00,160 EMBARCADERO SOUTH
2025-11-02,19:51:00,2400 LARKIN ST
2025-11-02,19:51:00,1535 48TH AVE
2025-11-02,19:48:00,744 OAK ST
2025-11-02,19:48:00,87 EMBARCADERO SOUTH
2025-11-02,19:47:00,230 CERVANTES BLVD
2025-11-02,19:45:00,1149 SILVER AVE
2025-11-02,19:45:00,501 MADRID ST
2025-11-02,19:44:00,99 EMBARCADERO SOUTH
2025-11-02,19:42:00,700 CHURCH ST
2025-11-02,19:40:00,713 LYON ST
2025-11-02,19:40:00,102 EMBARCADERO SOUTH
2025-11-02,19:39:00,102 EMBARCADERO SOUTH
2025-11-02,19:38:00,102 EMBARCADERO SOUTH
2025-11-02,19:35:00,4 EMBARCADERO SOUTH
2025-11-02,19:34:00,4 EMBARCADERO SOUTH
2025-11-02,19:32:00,3 EMBARCADERO NORTH
2025-11-02,19:31:00,3 EMBARCADERO NORTH
2025-11-02,19:29:00,3 EMBARCADERO NORTH
2025-11-02,19:28:00,841 26TH AVE
2025-11-02,19:28:00,3 EMBARCADERO NORTH
2025-11-02,19:26:00,24 HARTFORD ST
2025-11-02,19:25:00,175 ALHAMBRA ST
2025-11-02,19:25:00,175 ALHAMBRA ST
2025-11-02,19:25:00,3 EMBARCADERO NORTH
2025-11-02,19:24:00,1848 FRANKLIN ST
2025-11-02,19:23:00,103 EMBARCADERO NORTH
2025-11-02,19:20:00,303 EMBARCADERO NORTH
2025-11-02,19:19:00,303 EMBARCADERO NORTH
2025-11-02,19:16:00,1750 BEACH ST
2025-11-02,19:16:00,403 EMBARCADERO NORTH
2025-11-02,19:15:00,403 EMBARCADERO NORTH
2025-11-02,19:14:00,205 CLIPPER ST
2025-11-02,19:13:00,526 NOE ST
2025-11-02,19:11:00,1272 BROADWAY
2025-11-02,19:11:00,403 EMBARCADERO NORTH
2025-11-02,19:10:00,627 UNIVERSITY ST
2025-11-02,19:06:00,531 ARBALLO DR
2025-11-02,19:05:00,809 DWIGHT ST
2025-11-02,19:05:00,530 ARBALLO DR
2025-11-02,19:03:00,704 EMBARCADERO NORTH
2025-11-02,19:01:00,704 EMBARCADERO NORTH
2025-11-02,19:01:00,460 DWIGHT ST
2025-11-02,18:59:00,1100 CAPP ST
2025-11-02,18:59:00,704 EMBARCADERO NORTH
2025-11-02,18:59:00,977 GUERRERO ST
2025-11-02,18:57:00,1098 CAPP ST
2025-11-02,18:56:00,112 EMBARCADERO SOUTH
